playerId,total_contribution,firstName,lastName,wyId,age,role,minutesPlayed,contribution_per_90,place
3441,5.556006523829073,Gabriel,Fern\u00e1ndez Arenas,3441.0,35.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2431.0,0.20569337192291917,106
286223,7.048895868487037,Nicol\u00f2,Barella,286223.0,21.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3087.0,0.20550716817746462,107
246946,7.230657967912893,Ellyes,Skhiri,246946.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3175.0,0.20496353294871192,108
93003,4.823966527524382,Dimitrios,Siovas,93003.0,29.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2124.0,0.2044053613357789,109
16826,5.297611809181953,Rani,Khedira,16826.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2341.0,0.20366726306124552,110
209209,5.199003044160889,Flavien,Tait,209209.0,25.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2298.0,0.2036163072125675,111
116349,5.047774922206843,Mat\u00edas,Vecino Falero,116349.0,26.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2232.0,0.20353931137930817,112
25999,5.457982072473011,R\u00e9my,Cabella,25999.0,28.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2414.0,0.2034873183606342,113
14938,5.724862586196035,Maximilian,Arnold,14938.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2534.0,0.20332976825479207,114
141172,6.969023597735711,Jean Eud\u00e8s,Aholou,141172.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3120.0,0.20102952685776088,115
70093,6.475365468179376,Jo\u00e3o Filipe,Iria Santos Moutinho,70093.0,31.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2906.0,0.20054469791333238,116
49856,5.325477389492217,David \u00c1ngel,Abraham,49856.0,31.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2394.0,0.20020591689820363,117
15107,4.713559934024126,Raffael,Caetano de Ara\u00fajo,15107.0,33.0,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",2124.0,0.19972711584847988,118
20879,6.007380532238959,Radja,Nainggolan,20879.0,30.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2712.0,0.19935997341500972,119
265172,6.2550573251250325,Anton\u00edn,Bar\u00e1k,265172.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2836.0,0.1985032296407803,120
